HouseTeam,AwayTeam,HouseTeamRating,AwayTeamRating,AwayTeamScore
Fulham,Arsenal,66,67,3
"Crystal Palace",Southampton,67,66,0
Liverpool,Leeds,70,65,3
"West Ham",Newcastle,67,66,2
"West Brom",Leicester,0,67,3
Tottenham,Everton,68,65,1
Brighton,Chelsea,67,69,3
"Sheffield United",Wolves,64,0,2
Everton,"West Brom",65,0,2
Leeds,Fulham,65,66,3
"Man United","Crystal Palace",67,67,3
Arsenal,"West Ham",67,67,1
Southampton,Tottenham,66,68,5
Newcastle,Brighton,66,67,3
Chelsea,Liverpool,69,70,2
Leicester,Burnley,67,66,2
"Aston Villa","Sheffield United",66,64,0
Wolves,"Man City",0,71,3
Brighton,"Man United",67,67,3
"Crystal Palace",Everton,67,65,2
"West Brom",Chelsea,0,69,3
Burnley,Southampton,66,66,1
"Sheffield United",Leeds,64,65,1
Tottenham,Newcastle,68,66,1
"Man City",Leicester,71,67,5
"West Ham",Wolves,67,0,0
Fulham,"Aston Villa",66,66,3
Liverpool,Arsenal,70,67,1
Chelsea,"Crystal Palace",69,67,0
Everton,Brighton,65,67,2
Leeds,"Man City",65,71,1
Newcastle,Burnley,66,66,1
Leicester,"West Ham",67,67,3
Southampton,"West Brom",66,0,0
Arsenal,"Sheffield United",67,64,1
Wolves,Fulham,0,66,0
"Man United",Tottenham,67,68,6
"Aston Villa",Liverpool,66,70,2
Everton,Liverpool,65,70,2
Chelsea,Southampton,69,66,3
"Man City",Arsenal,71,67,0
Newcastle,"Man United",66,67,4
"Sheffield United",Fulham,64,66,1
"Crystal Palace",Brighton,67,67,1
Tottenham,"West Ham",68,67,3
Leicester,"Aston Villa",67,66,1
"West Brom",Burnley,0,66,0
Leeds,Wolves,65,0,1
"Aston Villa",Leeds,66,65,3
"West Ham","Man City",67,71,1
Fulham,"Crystal Palace",66,67,2
"Man United",Chelsea,67,69,0
Liverpool,"Sheffield United",70,64,1
Southampton,Everton,66,65,0
Wolves,Newcastle,0,66,1
Arsenal,Leicester,67,67,1
Brighton,"West Brom",67,0,1
